target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,position_error_m,minimum_limit_margin_rad,limits_pass,overall_pass,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad
0.4,0.0,0.7,0.40153634548187256,1.1828645701816853e-15,0.7011581063270569,0.0019239458683755755,0.272352403130363,True,True,-1.7942706923612799e-12,-0.1634888968016059,3.495276094001489e-12,-1.822042699259637,2.2007825271889757e-12,0.40312029613095013,0.0
0.5,0.0,0.7,0.5013903379440308,1.2795550751766582e-15,0.7009980082511902,0.0017114496977870739,0.49083128088302064,True,True,-2.3123021007612216e-12,0.07344804278447337,2.0662828260433865e-12,-1.6035638215069794,1.8683008617600713e-12,0.34695457835955856,0.0
0.6,0.0,0.7,0.6012066602706909,1.293710689791172e-15,0.7008673548698425,0.0014860462573902471,0.7523794150063501,True,True,-2.8193469986019876e-12,0.30627176715944604,5.25060982699555e-13,-1.34201568738365,1.5079823506714307e-12,0.2836696230181904,0.0
0.7,0.0,0.7,0.7009171843528748,1.6830002560856705e-15,0.7007312774658203,0.0011730276506438412,1.0804034580491406,True,True,-3.4583278605657846e-12,0.5558082392656013,-1.2647860436401815e-12,-1.0139916443408594,1.0705276733041129e-12,0.20546114492940606,0.0
0.7999999999999999,0.0,0.7,0.7999733090400696,1.947423613427729e-15,0.7003868222236633,0.0003877419761411981,1.2094831164784448,True,True,-4.685476131384423e-12,0.8849119859115554,-3.7990264392076116e-12,-0.5157807241329577,4.1635041724848975e-13,0.08775304556480117,0.0
0.8999999999999999,0.0,0.7,0.8426733016967773,2.3351817441535916e-15,0.6788233518600464,0.061113016328701204,0.894059475238216,True,False,-6.386156453539407e-12,1.200335627151784,-6.2864885302677105e-12,-0.016368798606331218,-1.22263647457382e-14,0.0002214331953419926,0.0
0.9999999999999999,0.0,0.7,0.8529013395309448,2.3444347320693976e-15,0.6504325270652771,0.1552254820734174,0.8554209995591646,True,False,-6.509243203762769e-12,1.2389741028308354,-6.494580355316409e-12,-0.006765207539713833,-9.193503789097344e-15,3.79192211411508e-05,0.0
1.0999999999999999,0.0,0.7,0.8606986403465271,2.0240970358131882e-15,0.6264492273330688,0.25034946952590753,0.8261183708109283,True,False,-6.597404551155885e-12,1.2682767315790717,-6.648373454443707e-12,-0.004312108798110994,-8.29728304369566e-15,1.5177901606412827e-05,0.0
1.1999999999999997,0.0,0.7,0.8667733669281006,2.1959058107024615e-15,0.6059735417366028,0.3462383049894862,0.8018102735304917,True,False,-6.67241336470692e-12,1.2925848288595083,-6.777824041985214e-12,-0.0031837740722485313,-7.984615793359807e-15,8.14999088091266e-06,0.0
1.2999999999999998,0.0,0.7,0.871590793132782,1.7444440260794974e-15,0.5883181691169739,0.44272709413134353,0.781150254157335,True,False,-6.738301817132488e-12,1.313244848232665,-6.886061769764316e-12,-0.0025324727864162837,-7.805166600565965e-15,5.086744704194251e-06,0.0
1.4,0.0,0.7,0.8754710555076599,1.9079010561088433e-15,0.5729566216468811,0.5396949449398447,0.7633378908517634,True,False,-6.7969020461688486e-12,1.3310572115382366,-6.978593335732941e-12,-0.00210713043077811,-7.692575820622099e-15,3.4794134980341512e-06,0.0
1.4999999999999996,0.0,0.7,0.8786395192146301,1.9171438796292822e-15,0.5594815015792847,0.637051250277588,0.7478136280858645,True,False,-6.8494116586179406e-12,1.3465814743041356,-7.0597760224053664e-12,-0.0018068260811402344,-7.651449234664932e-15,2.5313736987056133e-06,0.0
