frame,time_s,raw_position_error_m,smooth_position_error_m,raw_speed_norm_rad_s,smooth_speed_norm_rad_s,raw_acceleration_norm_rad_s2,smooth_acceleration_norm_rad_s2,raw_q1_rad,raw_q2_rad,raw_q3_rad,raw_q4_rad,raw_q5_rad,raw_q6_rad,raw_q7_rad,smooth_q1_rad,smooth_q2_rad,smooth_q3_rad,smooth_q4_rad,smooth_q5_rad,smooth_q6_rad,smooth_q7_rad
0,0.0,0.0037318595129565524,0.006720815412699636,1.4568581899341293,0.6734088850826169,92.35896826991466,9.05332173770738,0.36329098700361206,0.5275061591279226,-0.2322818179787204,-0.7593391769913563,0.3625770091588812,0.6059087586408526,-0.2296620255181381,0.3678819966707605,0.5297693709332407,-0.2331436264814319,-0.7625776233061057,0.3572357426181257,0.6004003438356297,-0.23395884150458782
1,0.016666666666666666,0.00921364366012337,0.0027961697580913265,0.6166266509428218,0.5800458268872716,68.29719511833878,8.34673429933503,0.37080316408326897,0.5331885683094812,-0.23446415284655825,-0.7577534697964821,0.35320000206634455,0.6017365557733955,-0.23488679084167488,0.36493097449501827,0.5278901731818326,-0.23755679203078664,-0.7583989267601156,0.35584976249854106,0.6063968113750714,-0.2293548386173087
2,0.03333333333333333,0.003305321598738671,0.00034100446584441394,0.9829179845645397,0.5150488530888295,47.61278166661201,7.290215590892966,0.36728616213062587,0.527694281604,-0.2444035508327507,-0.7603140671756065,0.34656393899952526,0.6046258528259362,-0.23038875362318087,0.3627180832661975,0.5271606814429234,-0.2406607692191622,-0.7535567679285379,0.3548218567850828,0.6119202554425932,-0.2259621479103139
3,0.05,0.0077211641133944,0.0010037068244811256,1.2326183238049955,0.481448988807222,47.77556164717742,5.891176274650662,0.357085504222077,0.5209883093860437,-0.24972258777446496,-0.7540235582570578,0.35105565154575746,0.6175903702246843,-0.21959689105333052,0.36108710052312604,0.5273754899276977,-0.2426496679145022,-0.7481825789124187,0.3541244637780107,0.617044844188499,-0.22360664897225443
4,0.06666666666666667,0.007390667890432851,0.0014624781402109994,1.1167137746804243,0.46972209514764807,51.47711194608791,4.51257836403117,0.353203836237753,0.5243295539970333,-0.24392719115204806,-0.7388840693857718,0.36017318271426846,0.629369291020159,-0.21550217904437924,0.359881803804632,0.5283291928473399,-0.2437175979847501,-0.7424077918128039,0.35373002177758456,0.6218447457630928,-0.22211422139178136
5,0.08333333333333333,0.0036789503407365434,0.0012658844274037009,0.8766125411996128,0.46889264507036277,45.101507337838015,3.1811098910992675,0.35966267809574437,0.5350114781847303,-0.23571529783976938,-0.7272746900708172,0.3612022046429144,0.6302903108255846,-0.22212126966580398,0.3589459706495431,0.5298163844130348,-0.24405866929784947,-0.7363638387307399,0.3536109690840642,0.6263941283166786,-0.22131074475754567
6,0.1,0.009184414655410878,0.0006484684816733344,0.5585868089699841,0.47002227658923257,51.43351643758845,2.0095357053074756,0.36595316944279177,0.540103924620954,-0.23696166391559564,-0.7268536147888665,0.352782353086032,0.6256256964742704,-0.2289397120943888,0.3581233785966874,0.531631658835967,-0.2438669917217438,-0.7301821517672724,0.3537397439977093,0.6307671599995605,-0.22102209865819844
7,0.11666666666666667,0.003312633380840608,0.00026421077932547657,0.957739478534048,0.470679182118859,47.53170457576429,3.9191606629625233,0.3615668625914716,0.5343160455838627,-0.24630958249552493,-0.7300004083491279,0.34678467674317187,0.6282870868678717,-0.22544272358953316,0.35725780518489575,0.5335696103273252,-0.24333667512437873,-0.7239941630234537,0.3540887848187826,0.6350380089620477,-0.22107416268239252
8,0.13333333333333333,0.007668482069507436,0.0006094616731544614,1.2127257294916918,0.49228236597718944,47.61761708642908,1.875672152155876,0.35052653416348506,0.527301772502491,-0.25104830702768993,-0.7243732074364617,0.35190336030509006,0.64096282085972,-0.21564606287733018,0.35485200597921485,0.5340292255525515,-0.24372291150733852,-0.7184167229152694,0.35490079612826336,0.6401914892118753,-0.21997710024510997
9,0.15,0.0073840770330098554,0.0005881189108816,1.0947900418059222,0.4709228192467414,51.69238365137372,4.465916059192924,0.34583585543834844,0.5303121259279552,-0.24468165251011514,-0.7099906815183986,0.36163741253905873,0.6523836543883027,-0.21254576242788234,0.35283689861689455,0.5352387475589905,-0.2431490471588802,-0.7122698767752896,0.3561667610665588,0.6451775529286937,-0.21955233965614024
