rollout,frame,time_s,joint_error_norm_rad,actual_speed_norm_rad_s,task_position_error_m,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,target_q7_rad,actual_q1_rad,actual_q2_rad,actual_q3_rad,actual_q4_rad,actual_q5_rad,actual_q6_rad,actual_q7_rad
normal_2s,0,0.0,7.95904251656386e-06,0.3896476348976564,2.5588812701323694e-06,0.3678819966707605,0.5297693709332407,-0.2331436264814319,-0.7625776233061057,0.3572357426181257,0.6004003438356297,-0.23395884150458782,0.36788170750081045,0.529769657594347,-0.23313600021928219,-0.7625777551736428,0.3572357426181257,0.6004001867508465,-0.23395661022135206
normal_2s,1,0.016666666666666666,0.0033255002147809386,0.46361492791664294,0.0015528855688438025,0.36493097449501827,0.5278901731818326,-0.23755679203078664,-0.7583989267601156,0.35584976249854106,0.6063968113750714,-0.2293548386173087,0.36586465509021115,0.528647691094696,-0.23615975458555147,-0.75972111020413,0.3562882952707534,0.6044994721706456,-0.2308112963421977
normal_2s,2,0.03333333333333333,0.0038892856271999657,0.49649477551500054,0.0015691984547611362,0.3627180832661975,0.5271606814429234,-0.2406607692191622,-0.7535567679285379,0.3548218567850828,0.6119202554425932,-0.2259621479103139,0.36371374939037815,0.5276381717729804,-0.2392400976398656,-0.7555071621125989,0.3552858470871895,0.6095723370720605,-0.2274973487959412
normal_2s,3,0.05,0.0038033705222615677,0.4820130020961199,0.0012702533722046177,0.36108710052312604,0.5273754899276977,-0.2426496679145022,-0.7481825789124187,0.3541244637780107,0.617044844188499,-0.22360664897225443,0.36191825943575906,0.527458700187072,-0.24157548866759337,-0.7505000714642734,0.3544919327156806,0.6146805834573587,-0.22483891649066803
normal_2s,4,0.06666666666666667,0.0036661261519107206,0.4698121275719833,0.0009624816800160626,0.359881803804632,0.5283291928473399,-0.2437175979847501,-0.7424077918128039,0.35373002177758456,0.6218447457630928,-0.22211422139178136,0.3605262291997988,0.5280538841716466,-0.24304517566162434,-0.7449681813949731,0.35397109516034153,0.6195780611095171,-0.22297774887665245
normal_2s,5,0.08333333333333333,0.0036076407877207793,0.46652733322624484,0.0007413392623779962,0.3589459706495431,0.5298163844130348,-0.24405866929784947,-0.7363638387307399,0.3536109690840642,0.6263941283166786,-0.22131074475754567,0.35944597808854956,0.5292590155472958,-0.24374324529616936,-0.7390862674657809,0.3537249152253863,0.6242375764974567,-0.2218395117869122
normal_2s,6,0.1,0.0036114147977000335,0.46762860876071494,0.0006237665439461914,0.3581233785966874,0.531631658835967,-0.2438669917217438,-0.7301821517672724,0.3537397439977093,0.6307671599995605,-0.22102209865819844,0.3585417841849185,0.5308811599395196,-0.24382752730753152,-0.7330029396020453,0.35373537820509693,0.6286987169292911,-0.221281188926894
normal_2s,7,0.11666666666666667,0.0036159744002162834,0.46881452627795994,0.0005732509226854915,0.35725780518489575,0.5335696103273252,-0.24333667512437873,-0.7239941630234537,0.3540887848187826,0.6350380089620477,-0.22107416268239252,0.3576635902261135,0.5327197395880044,-0.24348530174016098,-0.7268447595492208,0.35397696475742113,0.6330320614611349,-0.22113748379746678
normal_2s,8,0.13333333333333333,0.0036648705242157574,0.4836790149066414,0.0008568516993658581,0.35485200597921485,0.5340292255525515,-0.24372291150733852,-0.7184167229152694,0.35490079612826336,0.6401914892118753,-0.21997710024510997,0.35574165965982135,0.533615025569753,-0.24365206200749032,-0.7210833627574679,0.3546084901085828,0.6379262851937434,-0.22034540841711667
normal_2s,9,0.15,0.003805549126333864,0.4737214612700469,0.0008004883445679178,0.35283689861689455,0.5352387475589905,-0.2431490471588802,-0.7122698767752896,0.3561667610665588,0.6451775529286937,-0.21955233965614024,0.3537560354649812,0.5347251800147963,-0.24331358515905804,-0.7150584672944681,0.3556737143962617,0.6428833104086856,-0.21980470127786886
normal_2s,10,0.16666666666666666,0.00352592384731325,0.4242429005583746,0.0005866300736312936,0.3515158669828717,0.5369569407704496,-0.2422848829974971,-0.706600763316166,0.35689544901464465,0.6491921055634898,-0.22015964396070695,0.35222412322670704,0.536251191988902,-0.2426127198469787,-0.7092787586683649,0.35650805334341207,0.6471944272669523,-0.22004783770578043
normal_2s,11,0.18333333333333332,0.0030309632489837206,0.38109756190246286,0.0005283547237839896,0.35006070364039354,0.5381517129368546,-0.24207621739715307,-0.7020357490171842,0.35697607034316237,0.6526413800628997,-0.22096265033923412,0.35074506179132126,0.5375510603803951,-0.2422507687582241,-0.704327485424445,0.3568279868393351,0.6509180105106392,-0.22067428708119502
normal_2s,12,0.2,0.0028765396140045764,0.3915643814751432,0.0007767627512084129,0.34764349372605935,0.538398717124561,-0.24241770373451405,-0.6979854859265991,0.3573489902528047,0.6565395995806523,-0.22112429034642989,0.34862490616538605,0.5381306239932443,-0.24236911803104738,-0.6999920902923162,0.35718414151651157,0.6547609783986961,-0.22098306081001473
normal_2s,13,0.21666666666666667,0.003181003124928603,0.42155716818846806,0.000979751121861827,0.3445912304088464,0.5384614015728642,-0.24230180449963576,-0.6934848891263559,0.3587019869504677,0.6610889396892213,-0.22096199064859118,0.3458675877222922,0.5383568399311653,-0.24232796257401706,-0.6955437552705553,0.35822173116863004,0.6590868317982329,-0.22096999593256555
normal_2s,14,0.23333333333333334,0.003341203117222649,0.4127025524990606,0.0008240798002073318,0.34194471072591354,0.539230324837522,-0.2412149062692189,-0.6885505269664411,0.3605152061801706,0.6653828136191222,-0.22150661962460688,0.34318601044023117,0.5389540734293693,-0.24157236675299756,-0.6907631722330798,0.3597895363523003,0.6633908330296573,-0.22133828065722586
normal_2s,15,0.25,0.0030540318891609064,0.3624189895745283,0.0005431130082225064,0.34003117398564797,0.5404870952912307,-0.2398509677590413,-0.6841805154094758,0.3617748416988291,0.668642028563549,-0.22307516624696902,0.34102933497838556,0.540002492158822,-0.2404011569768049,-0.6862632802745368,0.361146678679029,0.6669806226172633,-0.2225270156651261
normal_2s,16,0.26666666666666666,0.0025512599889858456,0.31872202942372435,0.0005073025535401077,0.3380231979209715,0.5412011687550567,-0.23915644103312175,-0.6809969440806635,0.36236928620044706,0.6712755523553534,-0.22482967236604004,0.33897435894591443,0.5408222195610702,-0.23955558679371539,-0.6826632072854806,0.3619824455393734,0.6699167143620385,-0.22410249910653218
normal_2s,17,0.2833333333333333,0.0024015908580337256,0.3307113313816761,0.0007990306074270379,0.33509339324187076,0.540949394605562,-0.23902633514380647,-0.6784068078735629,0.3632383430175661,0.674300025251881,-0.22593195890626525,0.33632142026129663,0.540909252602199,-0.2391980993820414,-0.6797535134897896,0.36284096920610664,0.6729132075663472,-0.2253543009631355
normal_2s,18,0.3,0.0027174163065020545,0.3612107800190513,0.0009973683949158093,0.33156909973889614,0.5404966016651992,-0.2384534028449964,-0.6754408604137506,0.36506931475197746,0.6779203104777398,-0.22669834937464253,0.3330728389823443,0.5406272469996193,-0.23869346734423286,-0.6768053619402379,0.36436425229410424,0.676336124741322,-0.22627432275920448
normal_2s,19,0.31666666666666665,0.00287567945964349,0.3536266927535947,0.0008163970627592137,0.32849128731833527,0.5407349294047383,-0.23692426670579186,-0.6721109765971477,0.36734194946482396,0.6812327900894257,-0.2281585937278548,0.32994100120300485,0.5407009636317103,-0.23748919094028215,-0.6735962540992331,0.36639978746940094,0.6796835623493622,-0.22756383001985206
normal_2s,20,0.3333333333333333,0.0026171863418239416,0.3097845813883414,0.0005109890364194577,0.3261872023987889,0.5414477669141113,-0.23513307485765875,-0.6694100541090253,0.36904211374030355,0.6834615143117121,-0.23062853351767784,0.32737496085329354,0.5412117199442908,-0.2358839366037378,-0.6707345480199874,0.3682060651936508,0.6822662568156442,-0.22966029754775424
normal_2s,21,0.35,0.002191324058730704,0.27584685912286033,0.0005057157800536483,0.3238292738234342,0.5416065457381003,-0.23402642962403883,-0.6679544558882973,0.3700579355830061,0.6850189563180111,-0.23326902218184417,0.32495118798223044,0.5414818662614854,-0.23461964412130104,-0.6688340469747337,0.36947199221762417,0.6841480981180739,-0.2321286901127336
normal_2s,22,0.36666666666666664,0.0021097876016283918,0.29267695162400226,0.0008149423668312454,0.32058981855973984,0.5407902770318729,-0.23349945813371642,-0.667144967244298,0.37132900774002325,0.6869255082899822,-0.2352406414188037,0.32196985309707105,0.5410091945401007,-0.23385830647670394,-0.6676793555090472,0.37074143642238916,0.6860468119926065,-0.234257232380176
normal_2s,23,0.3833333333333333,0.002423106098023723,0.3229989990906717,0.001000438806486291,0.31679575063850274,0.5397661241109245,-0.23254500574946046,-0.6660056839840826,0.37354246749953585,0.6893900116511149,-0.23685841696833607,0.318432944567255,0.5401595141421596,-0.23296486592812987,-0.6665351964951879,0.3726562037602824,0.6883322947315311,-0.2360365964777649
normal_2s,24,0.4,0.0025819894608450312,0.32198178536037253,0.0008025500751649013,0.3134874962725806,0.5394287161414517,-0.23064976838161852,-0.6645414185989857,0.37617793394892696,0.6915130287311239,-0.2391507373469035,0.31505235264135684,0.5396600466077334,-0.2313874350473851,-0.6651722066865474,0.37506363650642616,0.6905067347759122,-0.23816684289091095
normal_2s,25,0.4166666666666667,0.0024332359978340846,0.29873036083121257,0.0004985902654312879,0.3109916556304556,0.5395640655657571,-0.2285079542780183,-0.6637376540225279,0.3782211718644631,0.6925229636251965,-0.2424320160861336,0.31227653197668875,0.5395946929870804,-0.2294250404691524,-0.664191502603212,0.3772221079425842,0.6918851417064814,-0.24108412105277305
