frame,timestamp_s,distance_m,delayed_distance_m,raw_contact,robust_contact,delayed_contact,robust_phase,delayed_phase,raw_controller,robust_controller,delayed_controller,initialization_command_rad,geometry_refined_command_rad,raw_command_rad,robust_command_rad,delayed_command_rad,phase_mismatch,controller_mismatch
39,1.3,0.011000000000000003,0.016,False,False,False,0,0,0,0,0,0.22697477765098073,0.43891418985475633,0.22697477765098073,0.22697477765098073,0.22697477765098073,False,False
40,1.3333333333333333,0.01,0.015,False,False,False,0,0,0,0,0,0.225197792270444,0.43717411301158327,0.225197792270444,0.225197792270444,0.225197792270444,False,False
41,1.3666666666666667,0.0075,0.013999999999999999,True,False,False,0,0,1,0,0,0.2233928893108576,0.4353890995822572,0.4353890995822572,0.2233928893108576,0.2233928893108576,False,False
42,1.4,0.0085,0.013000000000000005,False,False,False,0,0,0,0,0,0.22156976298823283,0.43356881551867865,0.22156976298823283,0.22156976298823283,0.22156976298823283,False,False
43,1.4333333333333333,0.0076,0.012000000000000004,True,False,False,0,0,1,0,0,0.21973820539709385,0.43172304887636603,0.43172304887636603,0.21973820539709385,0.21973820539709385,False,False
44,1.4666666666666666,0.0084,0.011000000000000003,False,False,False,0,0,0,0,0,0.21790805391669213,0.42986165722641023,0.21790805391669213,0.21790805391669213,0.21790805391669213,False,False
45,1.5,0.0074,0.01,True,False,False,0,0,1,0,0,0.21608913837399424,0.42799451478976797,0.42799451478976797,0.21608913837399424,0.21608913837399424,False,False
46,1.5333333333333334,0.0065,0.0075,True,True,False,1,0,1,1,0,0.2142912282472336,0.426131459577728,0.426131459577728,0.426131459577728,0.2142912282472336,True,True
47,1.5666666666666667,0.006,0.0085,True,True,False,1,0,1,1,0,0.21252398019359783,0.4242822408222088,0.4242822408222088,0.4242822408222088,0.21252398019359783,True,True
48,1.6,0.006081174867301171,0.0076,True,True,False,1,0,1,1,0,0.21079688618288306,0.42245646697785916,0.42245646697785916,0.42245646697785916,0.21079688618288306,True,True
49,1.6333333333333333,0.006153553178172417,0.0084,True,True,False,1,0,1,1,0,0.20911922251569182,0.4206635545747249,0.4206635545747249,0.4206635545747249,0.20911922251569182,True,True
50,1.6666666666666667,0.006209291619565632,0.0074,True,True,False,1,0,1,1,0,0.2075,0.4189126781955418,0.4189126781955418,0.4189126781955418,0.2075,True,True
51,1.7,0.006242350066484833,0.0065,True,True,True,1,1,1,1,1,0.20594791555369674,0.41721272184554326,0.41721272184554326,0.41721272184554326,0.41721272184554326,False,False
52,1.7333333333333334,0.006249146123251667,0.006,True,True,True,1,1,1,1,1,0.20447130549304224,0.4155722319750557,0.4155722319750557,0.4155722319750557,0.4155722319750557,False,False
53,1.7666666666666666,0.006228943331663765,0.006081174867301171,True,True,True,1,1,1,1,1,0.20307810075793348,0.4139993724061534,0.4139993724061534,0.4139993724061534,0.4139993724061534,False,False
54,1.8,0.006183930977668283,0.006153553178172417,True,True,True,1,1,1,1,1,0.20177578431446472,0.41250188140427985,0.41250188140427985,0.41250188140427985,0.41250188140427985,False,False
55,1.8333333333333333,0.006118986848259268,0.006209291619565632,True,True,True,1,1,1,1,1,0.20057135096357573,0.4110870311241021,0.4110870311241021,0.4110870311241021,0.4110870311241021,False,False
56,1.8666666666666667,0.006041148647570184,0.006242350066484833,True,True,True,2,1,1,1,1,0.19947126977165738,0.4097615896459812,0.4097615896459812,0.4097615896459812,0.4097615896459812,True,False
57,1.9,0.0059588513524298165,0.006249146123251667,True,True,True,2,1,1,1,1,0.19848144932490142,0.4085317858054071,0.4085317858054071,0.4085317858054071,0.4085317858054071,True,False
58,1.9333333333333333,0.005881013151740732,0.006228943331663765,True,True,True,2,1,1,1,1,0.19760720599401468,0.40740327700262086,0.40740327700262086,0.40740327700262086,0.40740327700262086,True,False
59,1.9666666666666666,0.005816069022331717,0.006183930977668283,True,True,True,2,1,1,1,1,0.19685323537975014,0.4063811201635242,0.4063811201635242,0.4063811201635242,0.4063811201635242,True,False
60,2.0,0.005771056668336235,0.006118986848259268,True,True,True,2,1,1,1,1,0.19622358709262117,0.40546974600593066,0.40546974600593066,0.40546974600593066,0.40546974600593066,True,False
61,2.033333333333333,0.005750853876748333,0.006041148647570184,True,True,True,2,2,1,1,1,0.1957216430022591,0.4046729367473493,0.4046729367473493,0.4046729367473493,0.4046729367473493,False,False
62,2.066666666666667,0.005757649933515167,0.0059588513524298165,True,True,True,2,2,1,1,1,0.19535009907323736,0.4039938073718923,0.4039938073718923,0.4039938073718923,0.4039938073718923,False,False
63,2.1,0.005790708380434368,0.005881013151740732,True,True,True,2,2,1,1,1,0.195110950884923,0.4034347905546766,0.4034347905546766,0.4034347905546766,0.4034347905546766,False,False
64,2.1333333333333333,0.005846446821827583,0.005816069022331717,True,True,True,2,2,1,1,1,0.19500548291312886,0.4029976253223399,0.4029976253223399,0.4029976253223399,0.4029976253223399,False,False
65,2.1666666666666665,0.005918825132698829,0.005771056668336235,True,True,True,2,2,1,1,1,0.19503426163113566,0.4026833495081199,0.4026833495081199,0.4026833495081199,0.4026833495081199,False,False
66,2.2,0.006,0.005750853876748333,True,True,True,2,2,1,1,1,0.19519713246713805,0.40249229603947334,0.40249229603947334,0.40249229603947334,0.40249229603947334,False,False
67,2.2333333333333334,0.006081174867301171,0.005757649933515167,True,True,True,2,2,1,1,1,0.19549322063445695,0.4024240930755242,0.4024240930755242,0.4024240930755242,0.4024240930755242,False,False
68,2.2666666666666666,0.006153553178172417,0.005790708380434368,True,True,True,2,2,1,1,1,0.19592093583005854,0.40247766799086976,0.40247766799086976,0.40247766799086976,0.40247766799086976,False,False
69,2.3,0.006209291619565632,0.005846446821827583,True,True,True,2,2,1,1,1,0.19647798077614437,0.40265125518152245,0.40265125518152245,0.40265125518152245,0.40265125518152245,False,False
70,2.3333333333333335,0.006242350066484833,0.005918825132698829,True,True,True,2,2,1,1,1,0.197161363558935,0.4029424076481556,0.4029424076481556,0.4029424076481556,0.4029424076481556,False,False
71,2.3666666666666667,0.006249146123251667,0.006,True,True,True,2,2,1,1,1,0.1979674136983752,0.40334801229145556,0.40334801229145556,0.40334801229145556,0.40334801229145556,False,False
72,2.4,0.006228943331663765,0.006081174867301171,True,True,True,2,2,1,1,1,0.19889180186244962,0.4038643088343691,0.4038643088343691,0.4038643088343691,0.4038643088343691,False,False
73,2.433333333333333,0.006183930977668283,0.006153553178172417,True,True,True,2,2,1,1,1,0.19992956312022211,0.4044869122664837,0.4044869122664837,0.4044869122664837,0.4044869122664837,False,False
74,2.466666666666667,0.006118986848259268,0.006209291619565632,True,True,True,2,2,1,1,1,0.20107512360870608,0.4052108386868003,0.4052108386868003,0.4052108386868003,0.4052108386868003,False,False
75,2.5,0.006041148647570184,0.006242350066484833,True,True,True,2,2,1,1,1,0.20232233047033632,0.4060305344028357,0.4060305344028357,0.4060305344028357,0.4060305344028357,False,False
76,2.533333333333333,0.0059588513524298165,0.006249146123251667,True,True,True,2,2,1,1,1,0.20366448490024736,0.40693990812645525,0.40693990812645525,0.40693990812645525,0.40693990812645525,False,False
77,2.566666666666667,0.005881013151740732,0.006228943331663765,True,True,True,2,2,1,1,1,0.20509437812585962,0.4079323660901443,0.4079323660901443,0.4079323660901443,0.4079323660901443,False,False
78,2.6,0.005816069022331717,0.006183930977668283,True,True,True,2,2,1,1,1,0.2066043301255251,0.409000849891698,0.409000849891698,0.409000849891698,0.409000849891698,False,False
79,2.6333333333333333,0.005771056668336235,0.006118986848259268,True,True,True,2,2,1,1,1,0.20818623087827365,0.41013787686061226,0.41013787686061226,0.41013787686061226,0.41013787686061226,False,False
80,2.6666666666666665,0.005750853876748333,0.006041148647570184,True,True,True,2,2,1,1,1,0.20983158392310497,0.4113355827258766,0.4113355827258766,0.4113355827258766,0.4113355827258766,False,False
81,2.7,0.005757649933515167,0.0059588513524298165,True,True,True,2,2,1,1,1,0.21153155199386772,0.4125857663524766,0.4125857663524766,0.4125857663524766,0.4125857663524766,False,False
82,2.7333333333333334,0.0057907083804343675,0.005881013151740732,True,True,True,2,2,1,1,1,0.21327700448461837,0.4138799363027756,0.4138799363027756,0.4138799363027756,0.4138799363027756,False,False
83,2.7666666666666666,0.005846446821827583,0.005816069022331717,True,True,True,2,2,1,1,1,0.21505856649052185,0.4152093589691221,0.4152093589691221,0.4152093589691221,0.4152093589691221,False,False
84,2.8,0.005918825132698829,0.005771056668336235,True,True,True,2,2,1,1,1,0.2168666691608924,0.4165651080155724,0.4165651080155724,0.4165651080155724,0.4165651080155724,False,False
85,2.8333333333333335,0.006,0.005750853876748333,True,True,True,2,2,1,1,1,0.2186916010939264,0.41793811485957466,0.41793811485957466,0.41793811485957466,0.41793811485957466,False,False
86,2.8666666666666667,0.006081174867301171,0.005757649933515167,True,True,True,2,2,1,1,1,0.22052356049708394,0.4193192199188694,0.4193192199188694,0.4193192199188694,0.4193192199188694,False,False
87,2.9,0.006153553178172417,0.0057907083804343675,True,True,True,2,2,1,1,1,0.22235270783296285,0.4206992243447472,0.4206992243447472,0.4206992243447472,0.4206992243447472,False,False
88,2.933333333333333,0.006209291619565632,0.005846446821827583,True,True,True,2,2,1,1,1,0.22416921866790254,0.4220689419601993,0.4220689419601993,0.4220689419601993,0.4220689419601993,False,False
89,2.966666666666667,0.006242350066484833,0.005918825132698829,True,True,True,2,2,1,1,1,0.2259633364394645,0.42341925112039985,0.42341925112039985,0.42341925112039985,0.42341925112039985,False,False
90,3.0,0.006249146123251667,0.006,True,True,True,2,2,1,1,1,0.2277254248593737,0.4247411462133954,0.4247411462133954,0.4247411462133954,0.4247411462133954,False,False
91,3.033333333333333,0.006228943331663765,0.006081174867301171,True,True,True,2,2,1,1,1,0.22944601967046166,0.426025788520822,0.426025788520822,0.426025788520822,0.426025788520822,False,False
92,3.066666666666667,0.006183930977668283,0.006153553178172417,True,True,True,2,2,1,1,1,0.2311158794796232,0.4272645561619367,0.4272645561619367,0.4272645561619367,0.4272645561619367,False,False
93,3.1,0.006118986848259268,0.006209291619565632,True,True,True,2,2,1,1,1,0.2327260353937593,0.4284490928492003,0.4284490928492003,0.4284490928492003,0.4284490928492003,False,False
94,3.1333333333333333,0.006041148647570184,0.006242350066484833,True,True,True,2,2,1,1,1,0.23426783919211078,0.42957135519006434,0.42957135519006434,0.42957135519006434,0.42957135519006434,False,False
95,3.1666666666666665,0.005958851352429817,0.006249146123251667,True,True,True,2,2,1,1,1,0.23573300977624592,0.43062365827746507,0.43062365827746507,0.43062365827746507,0.43062365827746507,False,False
96,3.2,0.005881013151740732,0.006228943331663765,True,True,True,2,2,1,1,1,0.23711367764821722,0.4315987193207594,0.4315987193207594,0.4315987193207594,0.4315987193207594,False,False
97,3.2333333333333334,0.005816069022331717,0.006183930977668283,True,True,True,2,2,1,1,1,0.23840242717799337,0.43248969907941387,0.43248969907941387,0.43248969907941387,0.43248969907941387,False,False
98,3.2666666666666666,0.005771056668336236,0.006118986848259268,True,True,True,2,2,1,1,1,0.23959233643314598,0.43329024087361045,0.43329024087361045,0.43329024087361045,0.43329024087361045,False,False
99,3.3,0.005750853876748333,0.006041148647570184,True,True,True,2,2,1,1,1,0.24067701435686403,0.43399450695900577,0.43399450695900577,0.43399450695900577,0.43399450695900577,False,False
100,3.3333333333333335,0.005757649933515167,0.005958851352429817,True,True,True,2,2,1,1,1,0.241650635094611,0.43459721206710134,0.43459721206710134,0.43459721206710134,0.43459721206710134,False,False
101,3.3666666666666667,0.005790708380434368,0.005881013151740732,True,True,True,2,2,1,1,1,0.24250796928505486,0.43509365392797084,0.43509365392797084,0.43509365392797084,0.43509365392797084,False,False
102,3.4,0.0058464468218275825,0.005816069022331717,True,True,True,2,2,1,1,1,0.24324441214720627,0.43547974060837297,0.43547974060837297,0.43547974060837297,0.43547974060837297,False,False
103,3.433333333333333,0.0059188251326988284,0.005771056668336236,True,True,True,2,2,1,1,1,0.24385600821290693,0.43575201451545464,0.43575201451545464,0.43575201451545464,0.43575201451545464,False,False
104,3.466666666666667,0.006,0.005750853876748333,True,True,True,2,2,1,1,1,0.244339472571829,0.4359076729342429,0.4359076729342429,0.4359076729342429,0.4359076729342429,False,False
105,3.5,0.0065,0.005757649933515167,True,True,True,2,2,1,1,1,0.24469220851487844,0.4359445849858215,0.4359445849858215,0.4359445849858215,0.4359445849858215,False,False
106,3.533333333333333,0.0075,0.005790708380434368,True,True,True,2,2,1,1,1,0.2449123214812376,0.4358613049124044,0.4358613049124044,0.4358613049124044,0.4358613049124044,False,False
107,3.566666666666667,0.0083,0.0058464468218275825,False,True,True,2,2,0,1,1,0.24499862923413782,0.4356570816153335,0.24499862923413782,0.4356570816153335,0.4356570816153335,False,False
108,3.6,0.0077,0.0059188251326988284,True,True,True,2,2,1,1,1,0.2449506682107068,0.4353318643922563,0.4353318643922563,0.4353318643922563,0.4353318643922563,False,False
109,3.6333333333333333,0.0084,0.006,False,True,True,2,2,0,1,1,0.24476869601178608,0.434886304840245,0.24476869601178608,0.434886304840245,0.434886304840245,False,False
110,3.6666666666666665,0.0076,0.0065,True,True,True,2,2,1,1,1,0.24445369001834516,0.434321754912321,0.434321754912321,0.434321754912321,0.434321754912321,False,False
111,3.7,0.009,0.0075,False,True,True,2,2,0,1,1,0.24400734214192357,0.4336402611356096,0.24400734214192357,0.4336402611356096,0.4336402611356096,False,False
112,3.7333333333333334,0.012,0.0083,False,False,True,3,2,0,0,1,0.2434320497372973,0.4328445550200779,0.2434320497372973,0.2434320497372973,0.4328445550200779,True,True
113,3.7666666666666666,0.013,0.0077,False,False,True,3,2,0,0,1,0.24273090272617673,0.4319380397073803,0.24273090272617673,0.24273090272617673,0.4319380397073803,True,True
114,3.8,0.014,0.0084,False,False,True,3,2,0,0,1,0.24190766700109662,0.4309247729296456,0.24190766700109662,0.24190766700109662,0.4309247729296456,True,True
115,3.8333333333333335,0.015,0.0076,False,False,True,3,2,0,0,1,0.2409667641986356,0.4298094463679766,0.2409667641986356,0.2409667641986356,0.4298094463679766,True,True
116,3.8666666666666667,0.016,0.009,False,False,True,3,2,0,0,1,0.2399132479506049,0.4285973615198906,0.2399132479506049,0.2399132479506049,0.4285973615198906,True,True
117,3.9,0.017,0.012,False,False,False,3,3,0,0,0,0.2387527767407615,0.4272944022038018,0.2387527767407615,0.2387527767407615,0.2387527767407615,False,False
118,3.933333333333333,0.018000000000000002,0.013,False,False,False,3,3,0,0,0,0.23749158351283414,0.42590700384683483,0.23749158351283414,0.23749158351283414,0.23749158351283414,False,False
119,3.966666666666667,0.019000000000000003,0.014,False,False,False,3,3,0,0,0,0.23613644219309876,0.42444211971965984,0.23613644219309876,0.23613644219309876,0.23613644219309876,False,False
120,4.0,0.02,0.015,False,False,False,3,3,0,0,0,0.23469463130731183,0.42290718429856755,0.23469463130731183,0.23469463130731183,0.23469463130731183,False,False
121,4.033333333333333,0.021,0.016,False,False,False,3,3,0,0,0,0.23317389488741697,0.421310073950562,0.23317389488741697,0.23317389488741697,0.23317389488741697,False,False
122,4.066666666666666,0.022000000000000002,0.017,False,False,False,3,3,0,0,0,0.23158240087799656,0.4196590651517565,0.23158240087799656,0.23158240087799656,0.23158240087799656,False,False
123,4.1,0.023,0.018000000000000002,False,False,False,3,3,0,0,0,0.22992869726586956,0.4179627904627422,0.22992869726586956,0.22992869726586956,0.22992869726586956,False,False
124,4.133333333333334,0.024,0.019000000000000003,False,False,False,3,3,0,0,0,0.22822166616846457,0.4162301924967775,0.22822166616846457,0.22822166616846457,0.22822166616846457,False,False
125,4.166666666666667,0.025,0.02,False,False,False,3,3,0,0,0,0.22647047612756302,0.41447047612756305,0.22647047612756302,0.22647047612756302,0.22647047612756302,False,False
126,4.2,0.026000000000000002,0.021,False,False,False,3,3,0,0,0,0.2246845328646431,0.41269305919295607,0.2246845328646431,0.2246845328646431,0.2246845328646431,False,False
127,4.233333333333333,0.027000000000000003,0.022000000000000002,False,False,False,3,3,0,0,0,0.22287342876232166,0.41090752195919433,0.22287342876232166,0.22287342876232166,0.22287342876232166,False,False
128,4.266666666666667,0.028000000000000004,0.023,False,False,False,3,3,0,0,0,0.22104689134323002,0.40912355561698993,0.22104689134323002,0.22104689134323002,0.22104689134323002,False,False
129,4.3,0.029000000000000005,0.024,False,False,False,3,3,0,0,0,0.2192147310230468,0.4073509100861919,0.2192147310230468,0.2192147310230468,0.2192147310230468,False,False
130,4.333333333333333,0.030000000000000006,0.025,False,False,False,3,3,0,0,0,0.2173867884183087,0.4055993414095644,0.2173867884183087,0.2173867884183087,0.2173867884183087,False,False
131,4.366666666666666,0.031000000000000007,0.026000000000000002,False,False,False,3,3,0,0,0,0.21557288149201043,0.4038785590185715,0.21557288149201043,0.21557288149201043,0.21557288149201043,False,False
132,4.4,0.032,0.027000000000000003,False,False,False,3,3,0,0,0,0.21378275282087864,0.4021981731548793,0.21378275282087864,0.21378275282087864,0.21378275282087864,False,False
133,4.433333333333334,0.033,0.028000000000000004,False,False,False,3,3,0,0,0,0.21202601726754824,0.4005676427305886,0.21202601726754824,0.21202601726754824,0.21202601726754824,False,False
134,4.466666666666667,0.034,0.029000000000000005,False,False,False,3,3,0,0,0,0.21031211033869743,0.39899622390798306,0.21031211033869743,0.21031211033869743,0.21031211033869743,False,False
135,4.5,0.035,0.030000000000000006,False,False,False,3,3,0,0,0,0.20865023750651135,0.3974929196758523,0.20865023750651135,0.20865023750651135,0.20865023750651135,False,False
136,4.533333333333333,0.036000000000000004,0.031000000000000007,False,False,False,3,3,0,0,0,0.20704932476567176,0.39606643069422076,0.20704932476567176,0.20704932476567176,0.20704932476567176,False,False
137,4.566666666666666,0.037000000000000005,0.032,False,False,False,3,3,0,0,0,0.20551797069143307,0.39472510767263663,0.20551797069143307,0.20551797069143307,0.20551797069143307,False,False
138,4.6,0.038000000000000006,0.033,False,False,False,3,3,0,0,0,0.20406440025628278,0.39347690553906334,0.20406440025628278,0.20406440025628278,0.20406440025628278,False,False
139,4.633333333333334,0.03900000000000001,0.034,False,False,False,3,3,0,0,0,0.20269642065323984,0.39232933964692585,0.20269642065323984,0.20269642065323984,0.20269642065323984,False,False
140,4.666666666666667,0.04000000000000001,0.035,False,False,False,3,3,0,0,0,0.20142137936306515,0.391289444257041,0.20142137936306515,0.20142137936306515,0.20142137936306515,False,False
141,4.7,0.04100000000000001,0.036000000000000004,False,False,False,3,3,0,0,0,0.20024612469060774,0.3903637335190666,0.20024612469060774,0.20024612469060774,0.20024612469060774,False,False
142,4.733333333333333,0.04200000000000001,0.037000000000000005,False,False,False,3,3,0,0,0,0.19917696898224752,0.389558165163797,0.19917696898224752,0.19917696898224752,0.19917696898224752,False,False
143,4.766666666666667,0.043000000000000003,0.038000000000000006,False,False,False,3,3,0,0,0,0.19821965472199526,0.388878107103191,0.19821965472199526,0.19821965472199526,0.19821965472199526,False,False
144,4.8,0.044000000000000004,0.03900000000000001,False,False,False,3,3,0,0,0,0.19737932368834954,0.3883283071195163,0.19737932368834954,0.19737932368834954,0.19737932368834954,False,False
145,4.833333333333333,0.045000000000000005,0.04000000000000001,False,False,False,3,3,0,0,0,0.19666048933756997,0.38791286580851303,0.19666048933756997,0.19666048933756997,0.19666048933756997,False,False
146,4.866666666666666,0.046000000000000006,0.04100000000000001,False,False,False,3,3,0,0,0,0.19606701256169834,0.3876352129241122,0.19606701256169834,0.19606701256169834,0.19606701256169834,False,False
147,4.9,0.04700000000000001,0.04200000000000001,False,False,False,3,3,0,0,0,0.1956020809515313,0.387498087254079,0.1956020809515313,0.1956020809515313,0.1956020809515313,False,False
148,4.933333333333334,0.04800000000000001,0.043000000000000003,False,False,False,3,3,0,0,0,0.1952681916759253,0.387503520137092,0.1952681916759253,0.1952681916759253,0.1952681916759253,False,False
149,4.966666666666667,0.04900000000000001,0.044000000000000004,False,False,False,3,3,0,0,0,0.19506713806938855,0.3876528227123045,0.19506713806938855,0.19506713806938855,0.19506713806938855,False,False
150,5.0,0.05,0.045000000000000005,False,False,False,3,3,0,0,0,0.195,0.38794657697249035,0.195,0.195,0.195,False,False
