case,frame,timestamp_s,command_rad,feedback_rad,predicted_force_n,measured_force_n
no_adjustment,0,0.0,0.45,0.3,2.8000000000000003,0.9999999999999998
no_adjustment,1,0.03333333333333333,0.45,0.327,2.8000000000000003,1.5688993332949726
no_adjustment,2,0.06666666666666667,0.45,0.36750000000000005,3.0160000000000005,2.4038956514917253
no_adjustment,3,0.1,0.45,0.40989000000000003,3.3400000000000007,3.2694130633084058
no_adjustment,4,0.13333333333333333,0.45,0.445935,3.6791200000000006,3.998358734103603
no_adjustment,5,0.16666666666666666,0.45,0.4711773,3.9674800000000006,4.500492051453826
no_adjustment,6,0.2,0.45,0.48453015000000005,4.1694184000000005,4.75444437818242
no_adjustment,7,0.23333333333333334,0.45,0.48739466100000006,4.276241200000001,4.79000779303019
no_adjustment,8,0.26666666666666666,0.45,0.48261148950000005,4.299157288000001,4.666929751425326
no_adjustment,9,0.3,0.45,0.47348886477,4.260891916,4.455077333974675
no_adjustment,10,0.3333333333333333,0.45,0.463057484295,4.18791091816,4.219035112869811
no_adjustment,11,0.36666666666666664,0.45,0.4536137983989,4.10445987436,4.008434589795581
no_adjustment,12,0.4,0.45,0.44654160827774997,4.0289103871912,3.853886114101174
no_adjustment,13,0.43333333333333335,0.45,0.442355029505373,3.972332866222,3.767441856003857
no_adjustment,14,0.4666666666666667,0.45,0.4408842506291895,3.938840236042984,3.746071949275385
no_adjustment,15,0.5,0.45,0.44152495588013063,3.9270740050335164,3.776603466110888
no_adjustment,16,0.5333333333333333,0.45,0.4434861433923471,3.9321996470410454,3.84082353455197
no_adjustment,17,0.5666666666666667,0.45,0.4459922450900318,3.947889147138777,3.9198449018006363
no_adjustment,18,0.6,0.45,0.4484177901282517,3.967937960720255,3.997255135860007
no_adjustment,19,0.6333333333333333,0.45,0.45035195853115595,3.987342321026014,4.060934822114843
no_adjustment,20,0.6666666666666666,0.45,0.45160384050952274,4.002815668249248,4.10368987349886
no_adjustment,21,0.7,0.45,0.45216642896309805,4.012830724076182,4.122987313365564
no_adjustment,22,0.7333333333333333,0.45,0.45215903189817164,4.017331431704784,4.120126689417258
no_adjustment,23,0.7666666666666667,0.45,0.4517653761523508,4.0172722551853735,4.0991489012294355
no_adjustment,24,0.8,0.45,0.45117992253776945,4.014123009218807,4.065713023785578
no_adjustment,25,0.8333333333333334,0.45,0.45056942802305566,4.009439380302156,4.026088521886439
no_adjustment,26,0.8666666666666667,0.45,0.4500517947089003,4.004555424184446,3.9863359327526795
no_adjustment,27,0.9,0.45,0.44969048100767256,4.000414357671202,3.9516950471232626
no_adjustment,28,0.9333333333333333,0.45,0.44950050110945666,3.997523848061381,3.926168644006714
no_adjustment,29,0.9666666666666667,0.45,0.44946122457896764,3.9960040088756537,3.9122784401255273
no_adjustment,30,1.0,0.45,0.44953149611402093,3.9956897966317415,3.910971188176816
no_adjustment,31,1.0333333333333334,0.45,0.4496636114573334,3.996251968912168,3.921659165838263
no_adjustment,32,1.0666666666666667,0.45,0.44981399982846587,3.9973088916586677,3.942384345077593
no_adjustment,33,1.1,0.45,0.4499497439517121,3.9985119986277273,3.9700955457392704
no_adjustment,34,1.1333333333333333,0.45,0.45005109604421134,3.9995979516136972,4.001021920884227
no_adjustment,35,1.1666666666666667,0.45,0.45011081817915277,4.000408768353691,4.031115696878028
no_adjustment,36,1.2,0.45,0.4501314819586655,4.0008865454332225,4.056525290665034
no_adjustment,37,1.2333333333333334,0.45,0.4501218665761743,4.001051855669324,4.074050394831891
no_adjustment,38,1.2666666666666666,0.45,0.45009339213236893,4.000974932609395,4.081526576750981
no_adjustment,39,1.3,0.45,0.4500572189267549,4.000747137058951,4.078090429988923
no_adjustment,40,1.3333333333333333,0.45,0.45002232174012147,4.000457751414039,4.064287812984848
no_adjustment,41,1.3666666666666667,0.45,0.44999457373998886,4.000178573920972,4.0420060478299655
no_adjustment,42,1.4,0.45,0.4499766818267007,3.999956589919911,4.01423359795934
no_adjustment,43,1.4333333333333333,0.45,0.4499687125968586,3.999813454613606,3.9846742905118466
no_adjustment,44,1.4666666666666666,0.45,0.4499689252531315,3.9997497007748692,3.957263932032441
no_adjustment,45,1.5,0.45,0.44997466331383335,3.999751402025052,3.9356518880942475
no_adjustment,46,1.5333333333333334,0.45,0.4499831257986206,3.999797306510667,3.9227164645185866
no_adjustment,47,1.5666666666666667,0.45,0.44999191764452423,3.999865006388965,3.920179618786882
no_adjustment,48,1.6,0.45,0.44999935092372434,3.999935341156194,3.928373955166082
no_adjustment,49,1.6333333333333333,0.45,0.45000452238731004,3.999994807389795,3.9461947962544763
no_adjustment,50,1.6666666666666667,0.45,0.4500072249528325,4.000036179098481,3.9712451657616787
no_adjustment,51,1.7,0.45,0.45000776220587796,4.0000577996226605,4.000155244117559
no_adjustment,52,1.7333333333333334,0.45,0.45000673034089084,4.0000620976470245,4.029033940112789
no_adjustment,53,1.7666666666666666,0.45,0.4500048172113392,4.000053842727127,4.053991995718509
no_adjustment,54,1.8,0.45,0.45000264918520305,4.000038537690714,4.0716660470124655
no_adjustment,55,1.8333333333333333,0.45,0.45000069807409393,4.000021193481625,4.079672695585481
no_adjustment,56,1.8666666666666667,0.45,0.44999924566520283,4.000005584592752,4.076930964757882
no_adjustment,57,1.9,0.45,0.44999839380742035,3.999993965321623,4.063809254330827
no_adjustment,58,1.9333333333333333,0.45,0.4499981036587926,3.999987150459363,4.0420766462060405
no_adjustment,59,1.9666666666666666,0.45,0.4499982476991431,3.9999848292703413,4.014664915408187
no_adjustment,60,2.0,0.45,0.44999866106073566,3.999985981593145,3.9852732597893876
no_adjustment,61,2.033333333333333,0.45,0.4499991831556862,3.9999892884858856,3.957869090083536
no_adjustment,62,2.066666666666667,0.45,0.44999968521222905,3.99999346524549,3.9361523260621616
no_adjustment,63,2.1,0.45,0.450000083272477,3.9999974816978328,3.9230556139957145
no_adjustment,64,2.1333333333333333,0.45,0.4500003389643997,4.000000666179816,3.9203480451843924
no_adjustment,65,2.1666666666666665,0.45,0.4500004518213152,4.000002711715198,3.9283959731178992
no_adjustment,66,2.2,0.45,0.450000447236181,4.000003614570522,3.946113293231895
no_adjustment,67,2.2333333333333334,0.45,0.45000036361577717,4.000003577889448,3.9711079390205715
no_adjustment,68,2.2666666666666666,0.45,0.45000024130306265,4.000002908926218,4.000004826061253
no_adjustment,69,2.3,0.45,0.45000011469586554,4.000001930424501,4.028901627212282
no_adjustment,70,2.3333333333333335,0.45,0.4500000079577157,4.000000917566925,4.053895810646039
no_adjustment,71,2.3666666666666667,0.45,0.449999933943385,4.000000063661727,4.071611742176105
no_adjustment,72,2.4,0.45,0.4499998955038308,3.9999994715470804,4.0796566441802184
no_adjustment,73,2.433333333333333,0.45,0.4499998881742444,3.9999991640306467,4.076943814938714
no_adjustment,74,2.466666666666667,0.45,0.44999990331876166,3.9999991053939556,4.063839444557652
no_adjustment,75,2.5,0.45,0.4499999310196563,3.9999992265500937,4.042113193423314
no_adjustment,76,2.533333333333333,0.45,0.44999996227272654,3.9999994481572507,4.014699206879857
no_adjustment,77,2.566666666666667,0.45,0.4499999903157235,3.9999996981818127,3.9852998448891443
no_adjustment,78,2.6,0.45,0.4500000111281312,3.9999999225257885,3.957885649532436
no_adjustment,79,2.6333333333333333,0.45,0.4500000232775048,4.00000008902505,3.936159087367677
no_adjustment,80,2.6666666666666665,0.45,0.45000002734912803,4.0000001862200385,3.923054495528735
no_adjustment,81,2.7,0.45,0.4500000251949888,4.000000218793025,3.9203417697961727
no_adjustment,82,2.7333333333333334,0.45,0.4500000191950761,4.00000020155991,3.928387320593117
no_adjustment,83,2.7666666666666666,0.45,0.4500000116600218,4.00000015356061,3.9461045817087115
no_adjustment,84,2.8,0.45,0.4500000044373809,4.000000093280175,3.971100755452646
no_adjustment,85,2.8333333333333335,0.45,0.4499999987272566,4.000000035499047,3.999999974545132
no_adjustment,86,2.8666666666666667,0.45,0.4499999950734659,3.999999989818053,4.02889923476429
no_adjustment,87,2.9,0.45,0.44999999347566433,3.9999999605877274,4.053895521005011
no_adjustment,88,2.933333333333333,0.45,0.4499999935635397,3.999999947805315,4.071612934579199
no_adjustment,89,2.966666666666667,0.45,0.4499999947818578,3.999999948508318,4.079658629740759
no_adjustment,90,3.0,0.45,0.44999999654957973,3.999999958254863,4.07694598244542
no_adjustment,91,3.033333333333333,0.45,0.44999999837270627,3.999999972396638,4.063841345636544
no_adjustment,92,3.066666666666667,0.45,0.44999999990534517,3.9999999869816505,4.042114571137092
no_adjustment,93,3.1,0.45,0.4500000009645775,3.9999999992427617,4.014699980716876
no_adjustment,94,3.1333333333333333,0.45,0.45000000151123154,4.00000000771662,3.985300068799305
no_adjustment,95,3.1666666666666665,0.45,0.4500000016109346,4.000000012089853,3.9578854591885038
no_adjustment,96,3.2,0.45,0.4500000013887645,4.000000012887478,3.9361586495928704
no_adjustment,97,3.2333333333333334,0.45,0.4500000009877112,4.000000011110116,3.9230539683003984
